,short_name,age,club,overall,potential,wage_eur,player_positions,international_reputation,skill_moves,pace,shooting,passing,dribbling,defending,physic,log_wage,age2
66,M. Pjanić,27,Juventus,85,86,160000,"CM, CDM",3,4,74.0,71.0,86.0,86.0,67.0,69.0,11.982929094215963,729
67,L. Insigne,26,Napoli,85,86,115000,LW,3,4,90.0,74.0,82.0,89.0,25.0,50.0,11.652687407345388,676
68,A. Barzagli,36,Juventus,85,85,105000,CB,3,2,71.0,34.0,57.0,64.0,88.0,73.0,11.56171562913966,1296
69,V. Kompany,31,Manchester City,85,85,170000,CB,4,2,63.0,54.0,65.0,64.0,84.0,83.0,12.043553716032399,961
70,Filipe Luís,31,Atlético Madrid,85,85,81000,LB,3,3,79.0,62.0,77.0,77.0,82.0,79.0,11.302204433654575,961
71,B. Matuidi,30,Juventus,85,85,145000,"CDM, CM",3,2,78.0,67.0,77.0,75.0,83.0,84.0,11.884489021402711,900
72,J. Vertonghen,30,Tottenham Hotspur,85,85,130000,CB,3,2,67.0,65.0,73.0,70.0,85.0,81.0,11.77528972943772,900
73,C. Marchisio,31,Juventus,85,85,160000,"CM, CDM",3,4,78.0,72.0,83.0,84.0,76.0,74.0,11.982929094215963,961
74,A. Di María,29,Paris Saint-Germain,85,85,145000,"RW, LW",4,5,86.0,77.0,82.0,86.0,47.0,68.0,11.884489021402711,841
75,Jordi Alba,28,FC Barcelona,85,85,215000,LB,3,3,93.0,69.0,75.0,82.0,81.0,72.0,12.2783933071098,784
76,K. Glik,29,AS Monaco,85,85,60000,CB,3,2,56.0,32.0,44.0,53.0,86.0,84.0,11.002099841204238,841
77,H. Mkhitaryan,28,Manchester United,85,85,195000,"RM, RW, LM",3,4,86.0,79.0,80.0,87.0,54.0,70.0,12.180754837545884,784
78,Marco Asensio,21,Real Madrid,84,92,175000,"CAM, RM, LM, LW",3,4,78.0,82.0,83.0,83.0,39.0,61.0,12.072541252905651,441
79,Bernardo Silva,22,Manchester City,84,91,165000,RM,2,4,81.0,72.0,81.0,90.0,45.0,61.0,12.013700752882718,484
80,D. Alli,21,Tottenham Hotspur,84,90,115000,"CAM, CF, LM",3,4,76.0,81.0,77.0,82.0,64.0,78.0,11.652687407345388,441
81,M. Icardi,24,Inter,84,89,105000,ST,3,3,78.0,83.0,61.0,75.0,26.0,70.0,11.56171562913966,576
82,A. Laporte,23,Athletic Club de Bilbao,84,89,36000,CB,2,2,69.0,50.0,66.0,61.0,86.0,78.0,10.491274217438248,529
83,E. Bailly,23,Manchester United,84,89,150000,CB,2,2,78.0,42.0,59.0,65.0,84.0,84.0,11.918390573078392,529
84,Koke,25,Atlético Madrid,84,88,84000,"CM, RM, LM",3,3,70.0,75.0,86.0,82.0,63.0,75.0,11.33857207782545,625
85,Morata,24,Chelsea,84,88,170000,ST,3,3,82.0,80.0,71.0,80.0,23.0,73.0,12.043553716032399,576
86,K. Koulibaly,26,Napoli,84,87,96000,CB,3,2,73.0,26.0,43.0,56.0,85.0,86.0,11.472103470449973,676
87,J. Draxler,23,Paris Saint-Germain,84,87,120000,"LW, CAM, LM",3,4,78.0,80.0,82.0,86.0,34.0,64.0,11.695247021764184,529
88,Carvajal,25,Real Madrid,84,87,195000,RB,3,2,82.0,45.0,73.0,79.0,83.0,79.0,12.180754837545884,625
89,S. Mané,25,Liverpool,84,87,175000,"RW, LW",3,4,93.0,78.0,75.0,85.0,36.0,75.0,12.072541252905651,625
90,S. Mustafi,25,Arsenal,84,86,145000,CB,3,2,67.0,57.0,63.0,62.0,83.0,79.0,11.884489021402711,625
91,K. Manolas,26,Roma,84,86,96000,CB,3,2,80.0,19.0,42.0,60.0,86.0,83.0,11.472103470449973,676
92,K. Strootman,27,Roma,84,85,105000,"CM, CDM",3,3,67.0,74.0,82.0,78.0,78.0,82.0,11.56171562913966,729
93,Aduriz,36,Athletic Club de Bilbao,84,84,38000,ST,3,3,70.0,83.0,64.0,76.0,46.0,79.0,10.545341438708522,1296
94,A. Gómez,29,Atalanta,84,84,60000,"CF, LW, ST",3,4,90.0,77.0,80.0,89.0,31.0,58.0,11.002099841204238,841
95,Dani Alves,34,Paris Saint-Germain,84,84,115000,RB,4,3,82.0,68.0,81.0,85.0,77.0,66.0,11.652687407345388,1156
96,G. Cahill,31,Chelsea,84,84,160000,CB,3,2,63.0,58.0,52.0,61.0,84.0,78.0,11.982929094215963,961
97,L. Koscielny,31,Arsenal,84,84,150000,CB,3,2,75.0,41.0,62.0,65.0,85.0,78.0,11.918390573078392,961
98,Falcao,31,AS Monaco,84,84,68000,ST,3,3,69.0,84.0,68.0,78.0,37.0,74.0,11.127262984158243,961
99,D. Payet,30,Olympique de Marseille,84,84,60000,"LW, CAM",3,4,75.0,78.0,86.0,87.0,37.0,70.0,11.002099841204238,900
100,M. Benatia,30,Juventus,84,84,145000,CB,3,2,74.0,42.0,54.0,64.0,85.0,82.0,11.884489021402711,900
101,Juan Mata,29,Manchester United,84,84,195000,"CAM, RM",3,3,67.0,76.0,84.0,84.0,32.0,54.0,12.180754837545884,841
102,S. Khedira,30,Juventus,84,84,160000,"CM, CDM",3,2,64.0,74.0,80.0,76.0,80.0,84.0,11.982929094215963,900
103,Willian,28,Chelsea,84,84,200000,"RW, RM, CAM",3,4,88.0,76.0,81.0,86.0,49.0,64.0,12.206072645530174,784
104,E. Džeko,31,Roma,84,84,115000,ST,3,2,64.0,83.0,70.0,74.0,32.0,72.0,11.652687407345388,961
105,I. Perišić,28,Inter,84,84,110000,"LM, CAM",3,4,84.0,80.0,78.0,82.0,42.0,75.0,11.608235644774552,784
106,Bruno,33,Villarreal CF,84,84,59000,"CM, CDM",3,3,41.0,72.0,79.0,75.0,78.0,77.0,10.985292722887856,1089
107,Pedro,29,Chelsea,84,84,200000,"RW, LW",3,4,82.0,77.0,77.0,85.0,37.0,62.0,12.206072645530174,841
108,Ander Herrera,27,Manchester United,84,84,190000,"CM, CDM",3,3,73.0,72.0,81.0,83.0,78.0,77.0,12.154779351142624,729
109,K. Mbappé,18,Paris Saint-Germain,83,94,31000,ST,3,4,90.0,80.0,74.0,85.0,47.0,74.0,10.341742483467284,324
110,O. Dembélé,20,FC Barcelona,83,92,150000,"RW, LW, CAM",3,5,91.0,76.0,75.0,89.0,33.0,56.0,11.918390573078392,400
111,T. Lemar,21,AS Monaco,83,91,37000,LM,3,3,85.0,78.0,80.0,86.0,62.0,70.0,10.51867319162636,441
112,A. Belotti,23,Torino,83,90,58000,ST,3,3,82.0,81.0,57.0,78.0,29.0,84.0,10.968198289528557,529
113,Marquinhos,23,Paris Saint-Germain,83,89,75000,CB,3,2,71.0,38.0,68.0,69.0,84.0,76.0,11.225243392518447,529
114,N. Süle,21,FC Bayern München,83,89,78000,CB,2,2,65.0,41.0,51.0,49.0,83.0,81.0,11.26446410567173,441
115,S. de Vrij,25,Lazio,83,88,56000,CB,3,2,68.0,41.0,58.0,65.0,85.0,76.0,10.933106969717286,625
116,S. Umtiti,23,FC Barcelona,83,88,135000,CB,3,2,74.0,64.0,71.0,71.0,82.0,79.0,11.813030057420567,529
117,Fabinho,23,AS Monaco,83,88,37000,CDM,3,3,74.0,65.0,76.0,76.0,83.0,83.0,10.51867319162636,529
118,João Mário,24,Inter,83,88,70000,"CM, CAM",3,3,73.0,70.0,80.0,83.0,70.0,71.0,11.156250521031495,576
119,N. Keïta,22,RB Leipzig,83,88,68000,"CM, CDM, CAM",2,4,73.0,71.0,77.0,89.0,62.0,70.0,11.127262984158243,484
120,Roberto Firmino,25,Liverpool,83,87,135000,"ST, CF, CAM",3,4,77.0,81.0,79.0,85.0,46.0,77.0,11.813030057420567,625
121,J. Giménez,22,Atlético Madrid,83,87,53000,CB,2,2,70.0,45.0,51.0,52.0,85.0,81.0,10.87804719253426,484
122,M. Musacchio,26,Milan,83,86,105000,CB,3,2,70.0,51.0,67.0,58.0,84.0,78.0,11.56171562913966,676
123,Danilo Pereira,25,FC Porto,83,86,18000,"CDM, CB, CM",3,2,68.0,62.0,69.0,74.0,82.0,87.0,9.798127036878302,625
124,V. van Dijk,25,Southampton,83,86,89000,CB,3,2,73.0,60.0,67.0,69.0,83.0,85.0,11.396391648714276,625
125,William Carvalho,25,Sporting CP,83,86,21000,"CDM, CM",3,3,53.0,57.0,77.0,74.0,80.0,83.0,9.95227771670556,625
126,M. Salah,25,Liverpool,83,86,135000,RW,3,4,93.0,73.0,74.0,87.0,45.0,66.0,11.813030057420567,625
127,M. Schneiderlin,27,Everton,83,85,115000,"CDM, CM",2,2,68.0,62.0,76.0,77.0,79.0,81.0,11.652687407345388,729
128,J. Matip,25,Liverpool,83,85,110000,CB,2,2,67.0,46.0,68.0,66.0,84.0,78.0,11.608235644774552,625
129,E. Forsberg,25,RB Leipzig,83,85,75000,"CAM, LM",2,3,75.0,74.0,83.0,83.0,30.0,66.0,11.225243392518447,625
130,O. Toprak,27,Borussia Dortmund,83,84,66000,CB,3,2,76.0,39.0,62.0,67.0,85.0,75.0,11.097410021008562,729
131,K. Walker,27,Manchester City,83,84,130000,"RB, RWB",3,2,90.0,63.0,73.0,76.0,80.0,81.0,11.77528972943772,729
132,I. Gueye,27,Everton,83,84,115000,"CDM, CM",2,2,76.0,60.0,70.0,77.0,83.0,81.0,11.652687407345388,729
133,R. Mahrez,26,Leicester City,83,84,88000,RM,3,5,82.0,74.0,78.0,88.0,28.0,55.0,11.385092093460344,676
134,Y. Touré,34,Manchester City,83,83,145000,"CM, CDM",4,3,63.0,82.0,80.0,76.0,70.0,83.0,11.884489021402711,1156
135,Quaresma,33,Beşiktaş JK,83,83,67000,"RM, LM",3,5,83.0,76.0,81.0,88.0,18.0,60.0,11.112447898373103,1089
136,D. De Rossi,33,Roma,83,83,73000,CDM,3,2,68.0,64.0,73.0,70.0,81.0,82.0,11.198214720130528,1089
137,Nani,30,Lazio,83,83,47000,"LW, RW, CAM, LM",3,5,81.0,79.0,81.0,86.0,24.0,64.0,10.757902880692196,900
138,W. Sneijder,33,OGC Nice,83,83,47000,CAM,3,3,69.0,78.0,86.0,82.0,38.0,57.0,10.757902880692196,1089
139,J. Mascherano,33,FC Barcelona,83,83,155000,"CB, CDM",4,2,65.0,53.0,71.0,68.0,82.0,77.0,11.951180395901384,1089
140,Santi Cazorla,32,Arsenal,83,83,130000,"CM, CDM",3,4,65.0,76.0,85.0,85.0,61.0,63.0,11.77528972943772,1024
141,Juanfran,32,Atlético Madrid,83,83,62000,RB,3,3,82.0,58.0,75.0,77.0,80.0,77.0,11.03488966402723,1024
142,L. Biglia,31,Milan,83,83,105000,"CDM, CM",3,3,69.0,63.0,81.0,80.0,75.0,75.0,11.56171562913966,961
143,L. Perrin,31,AS Saint-Étienne,83,83,46000,CB,2,2,68.0,65.0,69.0,67.0,86.0,80.0,10.736396675471232,961
144,Borja Valero,32,Inter,83,83,80000,"CAM, CM, CF",3,4,70.0,69.0,85.0,86.0,63.0,65.0,11.289781913656018,1024
145,M. Dembélé,29,Tottenham Hotspur,83,83,115000,"CM, CDM",3,4,76.0,72.0,77.0,85.0,75.0,84.0,11.652687407345388,841
146,A. Valencia,31,Manchester United,83,83,130000,RB,2,3,87.0,65.0,75.0,81.0,78.0,85.0,11.77528972943772,961
147,E. Garay,30,Valencia CF,83,83,40000,CB,3,2,43.0,64.0,66.0,64.0,84.0,80.0,10.596634733096073,900
148,L. Piszczek,32,Borussia Dortmund,83,83,66000,"RB, CB",3,2,79.0,69.0,76.0,74.0,81.0,80.0,11.097410021008562,1024
149,K. Gameiro,30,Atlético Madrid,83,83,73000,ST,3,3,87.0,83.0,75.0,78.0,35.0,68.0,11.198214720130528,900
150,Jonas,33,SL Benfica,83,83,21000,"ST, CF",3,3,65.0,85.0,75.0,84.0,35.0,65.0,9.95227771670556,1089
151,E. Banega,29,Sevilla FC,83,83,27000,"CAM, CM",3,4,69.0,70.0,85.0,84.0,62.0,67.0,10.203592144986466,841
152,B. Höwedes,29,Juventus,83,83,50000,CB,3,2,64.0,47.0,63.0,64.0,83.0,77.0,10.819778284410283,841
153,A. Lallana,29,Liverpool,83,83,135000,CM,3,4,73.0,75.0,80.0,84.0,65.0,74.0,11.813030057420567,841
154,M. Mandžukić,31,Juventus,83,83,135000,"ST, LM",3,3,72.0,78.0,71.0,74.0,65.0,87.0,11.813030057420567,961
155,N. Gaitán,29,Atlético Madrid,83,83,70000,LM,3,4,81.0,74.0,81.0,85.0,39.0,55.0,11.156250521031495,841
156,S. Giovinco,30,Toronto FC,83,83,15000,"CF, ST",2,4,84.0,81.0,79.0,87.0,27.0,57.0,9.615805480084347,900
157,José Callejón,30,Napoli,83,83,87000,RW,3,3,90.0,78.0,71.0,83.0,35.0,65.0,11.37366339763672,900
158,S. N'Zonzi,28,Sevilla FC,83,83,25000,"CDM, CM",2,3,57.0,67.0,73.0,71.0,80.0,88.0,10.126631103850338,784
159,B. Dost,28,Sporting CP,83,83,28000,ST,3,2,60.0,83.0,57.0,64.0,43.0,83.0,10.239959789157341,784
160,G. Bonaventura,27,Milan,83,83,115000,"CM, LW",3,3,78.0,77.0,82.0,83.0,67.0,73.0,11.652687407345388,729
161,S. Kagawa,28,Borussia Dortmund,83,83,75000,"CAM, CF",3,4,70.0,68.0,76.0,87.0,34.0,49.0,11.225243392518447,784
162,J. Pastore,28,Paris Saint-Germain,83,83,100000,"CM, LW, RW",3,4,71.0,75.0,83.0,85.0,58.0,64.0,11.512925464970229,784
163,N. Matić,28,Manchester United,83,83,140000,"CDM, CM",3,3,64.0,70.0,76.0,72.0,80.0,87.0,11.84939770159144,784
164,N. Otamendi,29,Manchester City,83,83,140000,CB,3,2,63.0,56.0,59.0,54.0,83.0,81.0,11.84939770159144,841
165,Iago Aspas,29,RC Celta,83,83,39000,"ST, RW",2,3,81.0,83.0,73.0,85.0,29.0,63.0,10.571316925111784,841
166,Vitolo,27,UD Las Palmas,83,83,68000,"LM, RM",2,3,80.0,77.0,79.0,83.0,28.0,76.0,11.127262984158243,729
167,L. Sané,21,Manchester City,82,91,125000,"LW, RW, LM",2,3,94.0,77.0,72.0,86.0,35.0,70.0,11.736069016284437,441
168,Saúl,22,Atlético Madrid,82,90,59000,"CM, RM",3,3,73.0,69.0,78.0,81.0,77.0,75.0,10.985292722887856,484
169,A. Martial,21,Manchester United,82,90,115000,"LM, ST",3,4,90.0,79.0,70.0,86.0,41.0,74.0,11.652687407345388,441
170,K. Baldé Diao,22,AS Monaco,82,90,46000,"LW, ST",2,4,92.0,76.0,72.0,86.0,29.0,70.0,10.736396675471232,484
171,Deulofeu,23,FC Barcelona,82,89,165000,"LW, RW",3,4,93.0,70.0,75.0,88.0,26.0,61.0,12.013700752882718,529
172,C. Tolisso,22,FC Bayern München,82,89,98000,"CM, CDM",2,3,74.0,76.0,78.0,78.0,76.0,83.0,11.49272275765271,484
173,M. Kovačić,23,Real Madrid,82,88,150000,"CM, CDM",3,4,81.0,69.0,82.0,85.0,61.0,69.0,11.918390573078392,529
174,L. Goretzka,22,FC Schalke 04,82,88,46000,"CM, CAM, CDM",3,3,84.0,73.0,79.0,80.0,77.0,76.0,10.736396675471232,484
175,André Gomes,23,FC Barcelona,82,88,150000,"CM, LW, CAM",3,3,68.0,71.0,78.0,78.0,71.0,81.0,11.918390573078392,529
176,F. Bernardeschi,23,Juventus,82,88,110000,"RM, CF, LM",2,4,84.0,76.0,77.0,86.0,34.0,65.0,11.608235644774552,529
177,J. Tah,21,Bayer 04 Leverkusen,82,88,47000,CB,2,2,72.0,27.0,58.0,58.0,82.0,78.0,10.757902880692196,441
178,T. Bakayoko,22,Chelsea,82,88,105000,"CDM, CM",2,2,73.0,49.0,70.0,75.0,81.0,83.0,11.56171562913966,484
179,E. Dier,23,Tottenham Hotspur,82,87,85000,"CB, CDM",2,2,72.0,63.0,71.0,65.0,81.0,85.0,11.350406535472453,529
180,Suso,23,Milan,82,87,110000,RW,3,4,82.0,75.0,81.0,87.0,23.0,51.0,11.608235644774552,529
181,R. Sterling,22,Manchester City,82,87,140000,"RW, RM, LM",3,4,93.0,71.0,74.0,85.0,46.0,61.0,11.84939770159144,484
182,T. Werner,21,RB Leipzig,82,87,68000,ST,3,3,91.0,79.0,65.0,81.0,28.0,65.0,11.127262984158243,441
183,Willian José,25,Real Sociedad,82,86,42000,ST,2,3,67.0,82.0,65.0,76.0,37.0,77.0,10.645424897265505,625
184,Iñigo Martínez,26,Real Sociedad,82,86,37000,CB,2,2,71.0,56.0,63.0,61.0,82.0,79.0,10.51867319162636,676
185,S. Savić,26,Atlético Madrid,82,86,62000,CB,2,2,63.0,35.0,52.0,56.0,83.0,74.0,11.03488966402723,676
186,A. Rüdiger,24,Chelsea,82,86,105000,"CB, RB",2,2,74.0,40.0,64.0,63.0,82.0,79.0,11.56171562913966,576
187,G. Wijnaldum,26,Liverpool,82,85,130000,"CM, CAM",3,3,81.0,75.0,76.0,84.0,66.0,74.0,11.77528972943772,676
188,V. Wanyama,26,Tottenham Hotspur,82,85,99000,"CDM, CM",2,2,64.0,66.0,70.0,74.0,82.0,91.0,11.502875129116727,676
189,X. Shaqiri,25,Stoke City,82,85,85000,"RM, RW",3,4,83.0,77.0,78.0,85.0,46.0,65.0,11.350406535472453,625
190,G. Xhaka,24,Arsenal,82,85,110000,"CM, CDM",3,3,50.0,66.0,79.0,72.0,72.0,78.0,11.608235644774552,576
191,H. Son,24,Tottenham Hotspur,82,85,95000,"LM, RM, ST",3,4,86.0,83.0,75.0,83.0,25.0,66.0,11.461632170582678,576
192,Lucas,24,Paris Saint-Germain,82,85,92000,"RW, LW",3,4,93.0,74.0,75.0,86.0,45.0,62.0,11.429543856031177,576
193,D. Klaassen,24,Everton,82,85,110000,"CM, CAM",2,2,73.0,80.0,74.0,74.0,67.0,79.0,11.608235644774552,576
194,F. Thauvin,24,Olympique de Marseille,82,85,40000,"RW, RM",2,4,82.0,76.0,78.0,84.0,36.0,63.0,10.596634733096073,576
195,Manu Trigueros,25,Villarreal CF,82,85,43000,"CM, CDM, CAM",2,4,73.0,74.0,80.0,81.0,65.0,69.0,10.668955394675699,625
196,Q. Promes,25,Spartak Moscow,82,85,76000,"RM, ST, LM",2,4,89.0,81.0,76.0,83.0,29.0,67.0,11.238488619268468,625
197,N. Fekir,23,Olympique Lyonnais,82,85,70000,"CAM, ST",3,4,80.0,79.0,77.0,86.0,31.0,73.0,11.156250521031495,529
